0
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, positionX, positionY, positionZ, stroke, fill, transparency, node weight, node radius, state
14,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/11,0,0,0,ff000000/255/0.1/0/41,0,ff000000/255/0.1/0/42,0,0,0,0,0,ff000000/255/0.1/0/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,355,0,0,ff000000,255,0.0,30,0
15,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/16,0,0,0,0,0,ff000000/255/0.1/0/42,0,ff000000/255/0.1/0/43,0,0,0,ff000000/255/0.1/0/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,353,0,0,ff000000,255,0.0,30,0
16,0,0,0,0,0,0,0,ff000000/255/0.1/0/21,0,0,0,0,0,0,0,ff000000/255/0.1/0/43,0,ff000000/255/0.1/0/44,0,ff000000/255/0.1/0/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,349,0,0,ff000000,255,0.0,30,0
17,0,0,0,0,0,0,ff000000/255/0.1/0/26,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/44,0,ff000000/255/0.1/0/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,346,0,0,ff000000,255,0.0,30,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/27,0,ff000000/255/0.1/0/49,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/28,0,0,0,0,0,0,792,290,0,0,ff000000,255,0.0,30,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/22,0,ff000000/255/0.1/0/49,0,ff000000/255/0.1/0/48,0,0,0,0,0,0,0,ff000000/255/0.1/0/23,0,0,0,0,0,0,0,741,290,0,0,ff000000,255,0.0,30,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/17,0,0,0,ff000000/255/0.1/0/48,0,ff000000/255/0.1/0/47,0,0,0,0,0,ff000000/255/0.1/0/18,0,0,0,0,0,0,0,0,671,290,0,0,ff000000,255,0.0,30,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/12,0,0,0,0,0,ff000000/255/0.1/0/47,0,ff000000/255/0.1/0/46,0,0,0,ff000000/255/0.1/0/14,0,0,0,0,0,0,0,0,0,608,292,0,0,ff000000,255,0.0,30,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/7,0,0,0,0,0,0,0,ff000000/255/0.1/0/46,0,ff000000/255/0.1/0/45,0,ff000000/255/0.1/0/8,0,0,0,0,0,0,0,0,0,0,538,296,0,0,ff000000,255,0.0,30,0
23,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/2,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/45,0,ff000000/255/0.1/0/3,0,0,0,0,0,0,0,0,0,0,0,487,299,0,0,ff000000,255,0.0,30,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/3,0,ff000000/255/0.1/0/50,0,0,0,0,ff000000/255/0.1/0/4,0,0,0,0,0,509,253,0,0,ff000000,255,0.0,30,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/8,0,ff000000/255/0.1/0/50,0,ff000000/255/0.1/0/51,0,0,0,0,ff000000/255/0.1/0/9,0,0,0,0,542,230,0,0,ff000000,255,0.0,30,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/14,0,0,0,ff000000/255/0.1/0/51,0,ff000000/255/0.1/0/52,0,0,0,0,ff000000/255/0.1/0/13,0,0,0,608,222,0,0,ff000000,255,0.0,30,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/18,0,0,0,0,0,ff000000/255/0.1/0/52,0,ff000000/255/0.1/0/53,0,0,0,0,ff000000/255/0.1/0/19,0,0,667,220,0,0,ff000000,255,0.0,30,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/23,0,0,0,0,0,0,0,ff000000/255/0.1/0/53,0,ff000000/255/0.1/0/54,0,0,0,0,ff000000/255/0.1/0/24,0,732,225,0,0,ff000000,255,0.0,30,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/28,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/54,0,0,0,0,0,0,ff000000/255/0.1/0/29,767,245,0,0,ff000000,255,0.0,30,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/4,0,0,0,0,0,0,ff000000/255/0.1/0/55,0,0,0,0,574,260,0,0,ff000000,255,0.0,30,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/9,0,0,0,0,ff000000/255/0.1/0/55,0,ff000000/255/0.1/0/56,0,0,0,563,195,0,0,ff000000,255,0.0,30,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/13,0,0,0,0,ff000000/255/0.1/0/56,0,ff000000/255/0.1/0/57,0,0,608,171,0,0,ff000000,255,0.0,30,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/19,0,0,0,0,ff000000/255/0.1/0/57,0,ff000000/255/0.1/0/58,0,663,169,0,0,ff000000,255,0.0,30,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/24,0,0,0,0,ff000000/255/0.1/0/58,0,ff000000/255/0.1/0/59,710,191,0,0,ff000000,255,0.0,30,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/29,0,0,0,0,ff000000/255/0.1/0/59,0,703,257,0,0,ff000000,255,0.0,30,1
